Item,Description,Quantity,Unit price ($),Total price ($),URL
0402CG330J500NT,33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4,0.001,0.004,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562
DSX321G 12MHz,SMD3225-4P Crystals ROHS,5,0.4003,2.0015,https://jlcpcb.com/partdetail/KDSDaishinku-DSX321G12MHz/C93234
KT-0603W,100mW 120° 2.6V~3.1V 360mcd 5mA Discrete Diode White Yellow Lens op View Mount 0603 LED Indication - Discrete ROHS,2,0.0104,0.0208,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603W/C2290
CL05A105KA5NQNC,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4,0.0029,0.0116,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923
RP2040,12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,2,0.9298,1.8596,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040
0402WGF1001TCE,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,6,0.0006,0.0036,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702
W25Q16JVUXIQ,"-40℃~+85℃ 100,000 Cycles 10uA 133MHz 16Mbit 2.7V~3.6V 20 Years 3ms SPI USON-8-EP(2x3) NOR FLASH ROHS",2,0.5448,1.0896,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335
CL05B104KO5NNNC,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,22,0.0012,0.0264,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
0402WGF1002TCE,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,2,0.0005,0.001,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744
CL10A106KP8NNNC,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4,0.0057,0.0228,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702
0402WGF220JTCE,-55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,4,0.0006,0.0024,https://jlcpcb.com/partdetail/25835-0402WGF220JTCE/C25092
MCP1700T-3302E/TT,IC REG LINEAR 3.3V 250MA SOT23-3,5,0.3591,1.7955,https://www.lcsc.com/product-detail/C39051.html
1001-011-01101,CONN PLUG USB1.1 TYPEA 4P SMD RA,1,1.4862,1.4862,https://www.lcsc.com/product-detail/C2943127.html
SKRKAHE020,SWITCH TACTILE SPST-NO 0.05A 12V,5,0.1682,0.841,https://www.lcsc.com/product-detail/C202388.html
PCB,"Green, 1.6 Thickness, HASL(with lead)",5,0.4,2,
PCBA,Assemble top side,2,12.875,25.75,
3D printing,3D printing of the case,1,0.87,0.87,
